source,target
A-Skills exchange programs,G-Data Sharing
A-Skills exchange programs,A-Data Sharing
A-Skills exchange programs,A-Forums to define problems and approach
A-Skills exchange programs,A-New academic majors/research centers
A-Skills exchange programs,A-Collaborator pull
A-Skills exchange programs,OAssoc-Data Sharing
A-Startups/Spinoffs,I-Skills exchange programs
A-Startups/Spinoffs,I-Joint Ventures
A-Joint Ventures,I-Data Sharing
A-Joint Ventures,I-Repurposing existing production lines
A-Joint Ventures,I-Joint Ventures
A-Joint Ventures,A-Startups/Spinoffs
A-Joint Ventures,A-Collaborator pull
A-Collaborator pull,G-Skills exchange programs
A-Collaborator pull,G-Collaborator Pull
A-Collaborator pull,I-Data Sharing
A-Collaborator pull,I-Joint Ventures
A-Collaborator pull,I-Collaborator pull
A-Collaborator pull,A-Data Sharing
A-Collaborator pull,A-Skills exchange programs
A-Collaborator pull,A-Joint Ventures
A-Collaborator pull,OAssoc-Data Sharing
A-Collaborator pull,OAssoc-Philanthropic donors
A-Forums to define problems and approach,I-Standard Setting
A-Forums to define problems and approach,A-Data Sharing
A-Forums to define problems and approach,A-Skills exchange programs
A-Forums to define problems and approach,A-New academic majors/research centers
A-Forums to define problems and approach,A-Collaborator pull
A-New academic majors/research centers,G-National Strategy
A-New academic majors/research centers,I-Workforce development programs
A-New academic majors/research centers,A-Lab Research
A-New academic majors/research centers,OAssoc-Philanthropic donors
A-Data Sharing,G-Data Sharing
A-Data Sharing,I-Lab Research
A-Data Sharing,I-Data Sharing
A-Data Sharing,A-Lab Research
A-Data Sharing,A-Skills exchange programs
A-Data Sharing,OAssoc-Data Sharing
A-Lab Research,G-Lab Research
A-Lab Research,I-Lab Research
A-Lab Research,A-New academic majors/research centers
G-Open Government IP,I-Lab Research
G-Open Government IP,I-Startups/Spinoffs
G-Open Government IP,I-Standard Setting
G-Open Government IP,A-Lab Research
G-Open Government IP,A-Startups/Spinoffs
G-Skills exchange programs,G-Data Sharing
G-Skills exchange programs,G-Collaborator Pull
G-Skills exchange programs,G-Forums to define problems and approach
G-Skills exchange programs,I-Data Sharing
G-Skills exchange programs,I-Skills exchange programs
G-Skills exchange programs,A-Startups/Spinoffs
G-Skills exchange programs,A-New academic majors/research centers
G-Standard Setting,G-Infrastructure creation
G-Standard Setting,I-Startups/Spinoffs
G-Standard Setting,I-Repurposing existing production lines
G-Standard Setting,I-Increase manufacturing capacity
G-Standard Setting,I-Venture Capital 
G-Standard Setting,I-Forums to define problems and approach
G-Commercialization Funds,I-Startups/Spinoffs
G-Commercialization Funds,I-Increase manufacturing capacity
G-Commercialization Funds,I-Joint Ventures
G-Commercialization Funds,I-Collaborator pull
G-Commercialization Funds,A-Startups/Spinoffs
G-Commercialization Funds,A-Joint Ventures
G-Commercialization Funds,A-Collaborator pull
G-Direct R&D Funding,G-Lab Research
G-Infrastructure creation,I-Repurposing existing production lines
G-Infrastructure creation,I-Increase manufacturing capacity
G-Infrastructure creation,I-Venture Capital 
G-Infrastructure creation,I-Stock sales
G-Loan guarantees,I-Repurposing existing production lines
G-Loan guarantees,I-Increase manufacturing capacity
G-Loan guarantees,I-Venture Capital 
G-Loan guarantees,I-Loans and debt financing
G-Loans and debt financing,I-Lab Research
G-Loans and debt financing,I-Repurposing existing production lines
G-Loans and debt financing,I-Increase manufacturing capacity
G-Loans and debt financing,I-Loans and debt financing
G-Loans and debt financing,A-Lab Research
G-Research Grants,G-Lab Research
G-Research Grants,G-Open Government IP
G-Research Grants,I-Lab Research
G-Research Grants,I-Data Sharing
G-Research Grants,I-Startups/Spinoffs
G-Research Grants,A-Lab Research
G-Research Grants,A-Data Sharing
G-Research Grants,A-New academic majors/research centers
G-Research Grants,OAssoc-Data Sharing
G-Tax credits and incentives,I-Lab Research
G-Tax credits and incentives,I-Repurposing existing production lines
G-Tax credits and incentives,I-Increase manufacturing capacity
G-Tax credits and incentives,I-Direct R&D Funding
G-Tax credits and incentives,I-Workforce development programs
G-Tax credits and incentives,A-Lab Research
G-Collaborator Pull,G-Data Sharing
G-Collaborator Pull,G-Forums to define problems and approach
G-Collaborator Pull,I-Data Sharing
G-Collaborator Pull,I-Collaborator pull
G-Collaborator Pull,I-Forums to define problems and approach
G-Collaborator Pull,A-Data Sharing
G-Collaborator Pull,A-Forums to define problems and approach
G-Collaborator Pull,A-Collaborator pull
G-Collaborator Pull,OAssoc-Data Sharing
G-Collaborator Pull,OAssoc-Philanthropic donors
G-Collaborator Pull,OAssoc-Forums to define problems and approach
G-Forums to define problems and approach,G-Data Sharing
G-Forums to define problems and approach,G-Open Government IP
G-Forums to define problems and approach,G-Skills exchange programs
G-Forums to define problems and approach,G-Standard Setting
G-Forums to define problems and approach,G-National Strategy
G-Forums to define problems and approach,G-Regulatory approval and oversight
G-Forums to define problems and approach,G-Collaborator Pull
G-Forums to define problems and approach,G-Workforce development programs
G-Forums to define problems and approach,G-Trade agreements to open new markets
G-Forums to define problems and approach,G-Law changes
G-Forums to define problems and approach,I-Standard Setting
G-Forums to define problems and approach,I-Forums to define problems and approach
G-Forums to define problems and approach,I-Workforce development programs
G-Forums to define problems and approach,A-Skills exchange programs
G-Forums to define problems and approach,A-Forums to define problems and approach
G-Forums to define problems and approach,A-New academic majors/research centers
G-Forums to define problems and approach,OAssoc-Forums to define problems and approach
G-Gauranteed purchases,I-Startups/Spinoffs
G-Gauranteed purchases,I-Repurposing existing production lines
G-Gauranteed purchases,I-Increase manufacturing capacity
G-Gauranteed purchases,I-Direct R&D Funding
G-Gauranteed purchases,I-Research Grants
G-Gauranteed purchases,I-Sales of goods/services
G-Gauranteed purchases,A-Startups/Spinoffs
G-Law changes,G-Data Sharing
G-Law changes,G-Open Government IP
G-Law changes,I-Startups/Spinoffs
G-Law changes,I-Venture Capital 
G-Law changes,I-Loans and debt financing
G-Law changes,I-Joint Ventures
G-Law changes,A-Startups/Spinoffs
G-Law changes,A-Joint Ventures
G-Law changes,OAssoc-Philanthropic donors
G-National Strategy,G-Lab Research
G-National Strategy,G-Data Sharing
G-National Strategy,G-Open Government IP
G-National Strategy,G-Skills exchange programs
G-National Strategy,G-Standard Setting
G-National Strategy,G-Direct R&D Funding
G-National Strategy,G-Research Grants
G-National Strategy,G-Tax credits and incentives
G-National Strategy,G-Loans and debt financing
G-National Strategy,G-Loan guarantees
G-National Strategy,G-Infrastructure creation
G-National Strategy,G-Commercialization Funds
G-National Strategy,G-Regulatory approval and oversight
G-National Strategy,G-Gauranteed purchases
G-National Strategy,G-Forums to define problems and approach
